,Costa Rica,US,Italy,Spain,Germany,China,Brazil,"Korea, South",France,Uruguay
5/13/20,8,87029,31106,27104,7861,4637,13240,260,27077,19
5/14/20,8,88812,31368,27321,7884,4637,13999,260,27428,19
5/15/20,9,90493,31610,27459,7897,4637,14962,262,27532,19
5/16/20,10,91709,31763,27563,7938,4638,15662,262,27532,19
5/17/20,10,92467,31908,27563,7962,4638,16118,263,28111,20
5/18/20,10,93243,32007,27709,8003,4638,16853,263,28242,20
5/19/20,10,94798,32169,27778,8081,4638,17983,263,28025,20
5/20/20,10,96377,32330,27888,8144,4638,18859,264,28135,20
5/21/20,10,97611,32486,27940,8203,4638,20047,264,28218,20
5/22/20,10,98884,32616,28628,8228,4638,21048,266,28292,20
5/23/20,10,100014,32735,28678,8261,4638,22013,266,28335,22
5/24/20,10,100628,32785,28752,8283,4638,22666,267,28370,22
5/25/20,10,101151,32877,26834,8309,4638,23473,269,28460,22
5/26/20,10,101846,32955,27117,8372,4638,24512,269,28533,22
5/27/20,10,103364,33072,27117,8428,4638,25598,269,28599,22
5/28/20,10,104556,33142,27119,8470,4638,26754,269,28665,22
5/29/20,10,105727,33229,27121,8504,4638,27878,269,28717,22
5/30/20,10,106706,33340,27125,8530,4638,28834,270,28774,22
5/31/20,10,107297,33415,27127,8540,4638,29314,271,28805,22
6/1/20,10,108074,33475,27127,8555,4638,29937,272,28836,23
6/2/20,10,109117,33530,27127,8563,4638,31199,273,28943,23
6/3/20,10,110128,33601,27128,8602,4638,32548,273,29024,23
6/4/20,10,111151,33689,27133,8635,4638,34021,273,29068,23
6/5/20,10,112100,33774,27134,8658,4638,35026,273,29114,23
6/6/20,10,112787,33846,27135,8673,4638,35930,273,29145,23
6/7/20,10,113234,33899,27136,8685,4638,36455,273,29158,23
6/8/20,11,113747,33964,27136,8695,4638,37134,274,29212,23
6/9/20,11,114692,34043,27136,8736,4638,38406,276,29299,23
6/10/20,12,115610,34114,27136,8752,4638,39680,276,29322,23
6/11/20,12,116498,34167,27136,8772,4638,40919,277,29349,23
6/12/20,12,117330,34223,27136,8783,4638,41828,277,29377,23
6/13/20,12,118093,34301,27136,8793,4638,42720,277,29401,23
6/14/20,12,118401,34345,27136,8801,4638,43332,277,29410,23
6/15/20,12,118792,34371,27136,8807,4638,43959,278,29439,23
6/16/20,12,119635,34405,27136,8820,4638,45241,279,29550,24
6/17/20,12,120387,34448,27136,8851,4638,46510,280,29578,24
6/18/20,12,121097,34514,27136,8875,4638,47748,280,29606,24
6/19/20,12,121769,34561,28315,8887,4638,48954,280,29620,24
6/20/20,12,122382,34610,28322,8895,4639,49976,280,29636,25
6/21/20,12,122666,34634,28323,8895,4639,50591,280,29643,25
6/22/20,12,123053,34657,28324,8899,4639,51271,281,29666,25
6/23/20,12,123900,34675,28325,8914,4640,52645,281,29723,25
6/24/20,12,124664,34644,28327,8928,4640,53830,282,29734,26
6/25/20,12,125223,34678,28330,8940,4641,54971,282,29755,26
6/26/20,12,125835,34708,28338,8965,4641,55961,282,29781,26
6/27/20,14,126335,34716,28341,8968,4641,57070,282,29781,26
6/28/20,15,126586,34738,28343,8968,4641,57622,282,29781,27
6/29/20,15,126950,34744,28346,8976,4641,58314,282,29816,27
6/30/20,16,127685,34767,28355,8990,4641,59594,282,29846,27
7/1/20,17,128372,34788,28364,8995,4641,60632,282,29864,28
7/2/20,18,129096,34818,28368,9006,4641,61884,282,29878,28
7/3/20,18,129749,34833,28385,9010,4641,63174,283,29896,28
7/4/20,18,130020,34854,28385,9020,4641,64265,283,29896,28
7/5/20,19,130319,34861,28385,9023,4641,64867,284,29896,28
7/6/20,23,130670,34869,28388,9022,4641,65487,285,29923,29
7/7/20,23,131894,34899,28392,9032,4641,66741,285,29936,29
7/8/20,25,132744,34914,28396,9046,4641,67964,287,29936,29
7/9/20,25,133756,34926,28401,9057,4641,69184,288,29982,29
7/10/20,26,134586,34938,28403,9063,4641,70398,288,30007,29
7/11/20,28,135277,34945,28403,9070,4641,71469,289,30007,30
7/12/20,30,135728,34954,28403,9071,4641,72100,289,30007,31
7/13/20,34,136117,34967,28406,9074,4641,72833,289,30032,31
7/14/20,37,137045,34984,28409,9078,4642,74133,289,30032,31
7/15/20,40,138013,34997,28413,9080,4644,75366,291,30123,31
7/16/20,42,138966,35017,28416,9087,4644,76688,293,30141,32
7/17/20,47,139886,35028,28420,9088,4645,77851,294,30155,32
7/18/20,54,140756,35042,28420,9091,4646,78772,295,30155,33
7/19/20,62,141201,35045,28420,9092,4646,79488,296,30155,33
7/20/20,66,141715,35058,28422,9094,4646,80120,296,30180,33
7/21/20,68,142824,35073,28424,9099,4648,81487,297,30168,33
7/22/20,71,144035,35082,28426,9102,4648,82771,297,30175,34
7/23/20,80,145156,35092,28429,9110,4649,84082,298,30185,34
7/24/20,87,146279,35097,28432,9120,4650,85238,298,30195,34
7/25/20,98,147180,35102,28432,9124,4652,86449,298,30195,34
7/26/20,104,147657,35107,28432,9124,4652,87004,299,30195,34
7/27/20,115,148782,35112,28434,9125,4656,87618,300,30212,35
7/28/20,125,150150,35123,28436,9131,4657,88539,300,30226,35
7/29/20,133,151586,35129,28441,9135,4658,90134,300,30226,35
7/30/20,140,152802,35132,28443,9144,4659,91263,301,30241,35
7/31/20,150,154048,35141,28445,9147,4661,92475,301,30268,35
8/1/20,154,155159,35146,28445,9154,4667,93563,301,30268,35
8/2/20,162,155565,35154,28445,9154,4669,94104,301,30268,36
8/3/20,171,156104,35166,28472,9154,4672,94665,301,30268,36
8/4/20,181,157482,35171,28498,9163,4676,95819,302,30297,37
8/5/20,191,158854,35181,28499,9179,4677,97256,302,30297,37
8/6/20,200,160104,35187,28500,9181,4680,98493,303,30308,37
8/7/20,218,161347,35190,28503,9195,4681,99572,304,30327,37
8/8/20,228,162423,35203,28503,9201,4681,100477,305,30327,37
8/9/20,235,162938,35205,28503,9202,4686,101049,305,30327,37
8/10/20,244,163463,35209,28576,9203,4689,101752,305,30327,37
8/11/20,255,164527,35215,28581,9208,4693,103026,305,30328,37
8/12/20,263,166034,35225,28579,9213,4697,104201,305,30375,37
8/13/20,272,167110,35231,28605,9217,4700,105463,305,30392,37
8/14/20,281,168452,35234,28617,9230,4701,106523,305,30410,38
8/15/20,291,169481,35392,28617,9235,4703,107232,305,30410,38
8/16/20,294,170052,35396,28617,9235,4703,107852,305,30410,38
8/17/20,304,170497,35400,28646,9236,4703,108536,306,30434,40
